id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
101,スマホの欠点・不便なところ,"「なぜスマホは普及したのか？」というテーマなのだから、敢えて悪い面にもスポットを当ててみてはどうか？と思い、投稿してみました。
個人的には、ガラケーと比べて明らかにバッテリーの持ちが悪い点。
それと、画面を見ながらでないと入力できない点は地味に不便だなぁと感じる時がたまにあります。
ガラケーは簡単なメールの返信程度なら手探りでボタン入力できましたが、タッチパネルだとなかなかそうはいかないです・・・。",,0,35,false,false,false,2015-06-15 20:48:40,2015-12-01 12:22:04,5,,,,false,1,
105,,"多機能すぎる、というのは、時に欠点になり得るのではないかなと。
自分に必要な物だけを取捨選択できる人にはいいけど、そうでない人にとってはきつそう。",101,54,1,false,false,false,2015-06-15 20:54:07,2015-11-18 14:28:47,5,,,,false,,
109,,"SNSへのハードルが下がった事で、インターネットマナーを守らない無粋な輩が多く出て来るようになりました。
また、インターネット閲覧が容易になる事で、アダルトサイトへの興味本位のアクセスや、それをカモにする詐欺まで横行し、一概にいい事だとは思いません。
つまり、使い手のさじ加減一つで犯罪にも繋がる危険性が増した事が不便さの1つだと思います。",101,53,41,false,false,false,2015-06-15 21:04:36,2015-11-18 14:28:47,5,,,,false,,
112,,あと、ガラケーよりも落とした時の焦りが半端ない。衝撃に弱いと言うか…とにかく、ディスプレーが悲惨な事になる。,101,40,41,false,false,false,2015-06-15 21:09:44,2015-11-18 14:28:47,5,,,,false,,
117,,"すごくわかる(笑)
スマホ持ち始めたばかりの頃は物珍しさでアプリを片っ端からDLしてたけれど、結局のところ、よく使うアプリってごく一部だったりするんだよね。
個人的には身の回りのムダを振り返るいいきっかけになったと思いたい。",105,49,35,false,false,false,2015-06-15 21:25:07,2015-11-18 14:28:47,5,,,,false,,
119,,"スマホが普及する前からネット上でマナーを守らない人はいるにはいたけれど、当時とは明らかに質が違う気がする。
ネット世界が一般に浸透してきたからこそ、当然そういう人たちの人数や手口も一気に増えた感があるし、特にSNSなんかでの不用意な発言で身元が割れてしまって騒動に発展するってケースは昔は稀だった気がする…。
なんにしても、ネット社会が身近になった分だけ、ネットリテラシーの意識を各々がもっと噛み締めなきゃいけない世の中なんだなぁと思うよ。",109,50,35,false,false,false,2015-06-15 21:32:18,2015-11-18 14:28:47,5,,,,false,,
120,,"ガラケーを使ってた頃はディスプレイを傷つけるのが怖くて、折りたたみ式しか使わない派でした。
そう言えば、ガラケーからスマホに乗り換える時も最初は抵抗感を持ってたはずなのに、いつの間にやら気にしなくなってたなぁ・・・。
本当に、今の今まですっかり忘れてました(笑)",112,49,35,false,false,false,2015-06-15 21:39:49,2015-11-18 14:28:46,5,,,,false,,
167,,マイナーですが、パソコンに繋いだ時にファイルツリーが複雑になっていて、目的のフォルダを探すのが大変なのが不便ですね。,120,57,34,false,false,false,2015-06-16 20:03:50,2015-11-18 14:28:46,5,,,,false,,
