id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
98,中高年の意見,"昔は、あっちに行ったり、こっちに行ったりしてそれぞれを使っていたけど、今は、動かずして全部掌で間に合う。
腰痛持ちにはありがたい一品です。

ただ、依存しすぎるのは、いかがなものか？
人間の機能の退化が目に見える。
スマホのせいだけではないが、漢字書けなくなりました。",,0,26,false,false,false,2015-06-15 20:44:15,2015-12-01 12:22:10,4,,,,false,2,
126,,スマフォの普及により、活字離れが進んでますね。,98,77,20,false,false,false,2015-06-15 22:24:43,2015-11-18 14:28:47,4,,,,false,,
144,,"若者はスマフォを使いすぎ
",98,82,16,false,false,false,2015-06-16 12:18:23,2015-11-18 14:28:47,4,,,,false,,
152,,スマホのフリック入力の方が速く打てる人も多くいるようですね．,144,51,17,false,false,false,2015-06-16 13:26:36,2015-11-18 14:28:47,4,,,,false,,
