id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
43,アプリケーション,"ここで、一旦アプリケーションに焦点を当ててみましょう。 
あなたがスマホでよく使うアプリ、おすすめのアプリは何ですか？ 
私がよく使うのは、Evernote(メモ帳)、GoodNotes(PDFビューア)、StudyPlus(勉強管理)などです。",,0,1,false,false,false,2015-06-15 11:58:28,2015-12-01 11:05:57,4,,,,false,1,
50,,Google maps、 facebook、lineなどはよく使います,43,100,18,false,false,false,2015-06-15 12:07:40,2015-11-18 14:28:48,4,,,,false,,
53,,google map、Facebook、twitter、line、カメラなどが多いです。あとは、音楽を聴くためにもよく使います。,43,2,20,false,false,false,2015-06-15 12:15:06,2015-11-18 14:28:48,4,,,,false,,
55,,"マップや、コミュニケーションツールとしての使用が多いようですね。
誰もが使っているわけではない様なアプリで、よく使うものはありませんか？",43,0,1,true,false,false,2015-06-15 12:22:31,2015-11-18 14:28:48,4,,,,false,,
56,,"カレンダーによるスケジュール管理です。
",43,62,25,false,false,false,2015-06-15 12:33:26,2015-11-18 14:28:48,4,,,,false,,
58,,"英語辞書、チャットアプリ使うのがいい気がします。
もちろんゲームもやります。
最近英語勉強用のアプリもよく使います。",43,31,19,false,false,false,2015-06-15 12:44:51,2015-11-18 14:28:48,4,,,,false,,
59,,"よく使うのはジョルテ(手帳)
おすすめはgoogle skymap(星座)
個人的に良く使ってるのは
sound hound(現在流れている曲の検索)
カラオケ番号検索(その名の通り)
ゲームアプリが5～6個入ってます。",43,49,21,false,false,false,2015-06-15 12:44:59,2015-11-18 14:28:48,4,,,,false,,
60,,私はゲームばかりですね,43,52,23,false,false,false,2015-06-15 12:52:55,2015-11-18 14:28:48,4,,,,false,,
66,,私は家計簿アプリをよく使っています,43,47,15,false,false,false,2015-06-15 13:25:43,2015-11-18 14:28:48,4,,,,false,,
