id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
108,スマホを得た代償に失った物,"「諸刃の剣」
どんなに便利な物でも、その使い方によっては害悪になりうる可能性があります。

そこで、ここではスマホの台頭によって、虐げられてきた、あるいはその存在を否定された者、物、事について考えてみましょう。

ガラケー使用者
リアルタイムでTwitterやLINEが見れない為、複数人とやり取りが出来ずに仲間外れにされる。


",,0,41,false,false,false,2015-06-15 20:55:44,2015-12-01 12:22:05,5,,,,false,2,
118,,「時間」を失ってる人は多そうですよね,108,59,28,false,false,false,2015-06-15 21:27:59,2015-11-18 14:28:47,5,,,,false,,
158,,"あまりにもスマホでなんでも出来すぎて依存してしまっている人が多いように思います
友達と会っている時でさえ常にスマホを触っているのは変に感じます
スマホを使ってコミュニケーションを取ることはできますが、スマホによってコミュニケーションが失われている場面もあると思います",108,40,27,false,false,false,2015-06-16 14:28:51,2015-11-18 14:28:47,5,,,,false,,
169,,"「時間」も「コミュニケーション」もそうですが、要は現実感を無くしがちって事でしょうか。
自分もスマホに夢中でついつい時間を忘れてしまって、思わずはっとする事があります(笑)
何でもできるからこそ、「自分が何をしたいのか」を考えて活用したいものですね。。",108,52,35,false,false,false,2015-06-16 22:12:47,2015-11-18 14:28:46,5,,,,false,,
