id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
100,スマホ流行のきっかけは？？？,"どんな事、物にも流行になるには何かしらのきっかけがあると思います。
そこで、ここではスマホが流行したきっかけについて考えてみましょう。

私は、見た目がカッコいい、近未来的だったからではないかと思います。",,0,41,false,false,false,2015-06-15 20:47:37,2015-12-01 12:22:04,5,,,,false,1,
103,,"確かに、デバイスの形からしてカッコよくなってきていると思います。
そのうち、アニメやSFみたいに、空中に画面やキーボードが現れる時が来るかもしれませんね。",100,55,1,false,false,false,2015-06-15 20:51:59,2015-11-18 14:28:47,5,,,,false,,
110,,"流行るためには、実用性・利便性ももちろん大事ですが、確かに見た目のデザインも重要だと思います！
近未来的、と言えば、Galaxy edgeは何気にかっこいいなぁと思いました。
実際の使用感はともかくとして、目の付け所、発想がなかなか面白いなぁと。
近頃は、ディスプレイや本体がぐにゃっと曲がるようなスマホも開発中という話を聞いた事があります。
こちらも早く商品化してもらいたいですね！！",100,55,35,false,false,false,2015-06-15 21:04:41,2015-11-18 14:28:47,5,,,,false,,
173,,"やはり、スマホの流行のきっかけはiPhoneではないでしょうか？
そもそも、昔からPDA(スマホの電話以外の機能があるようなもの)というものは存在していたのに、一部のマニア層を除き全然流行していませんでした。
にもかかわらず、一般層に広く普及したのはやはり、iPod、iPod Touch音楽プレーヤーとして広く認知され、流行してから売り出されたiPhoneの影響を無視はできないと思います。
",100,49,34,false,false,false,2015-06-16 22:53:20,2015-11-18 14:28:46,5,,,,false,,
174,,"iPod Touchの流行は、確かにスマホの普及の基盤になっていそうですね。
貴重なご意見、ありがとうございます。",173,0,1,true,false,false,2015-06-16 23:54:50,2015-11-18 14:28:46,5,,,,false,,
