id,sent,user_id,parent_id,created_at,rank
67,スマホの便利な使い始めた時期にたくさん話が出てますね,6,,2015-06-15 13:27:37,0.49999999999999994
67,もっとスマホの良いところや悪いところを話しあいましょう！例えば良いところ・みんな使っている・色んなアプリがあるなどなど悪いところ・電池の保ち・スマホや色んな意見をお聞かせください&話し合いましょう,6,,2015-06-15 13:27:37,0.49999999999999994
90,いいところといえば、twitterといった他者とのコミュニケーションを主としたアプリが使いやすいことですね,13,67,2015-06-15 20:06:11,0.049538453324666692
90,これらで友達同士の会話が容易になったり、外との交流を持ちやすくなった気がします,13,67,2015-06-15 20:06:11,0.048614874683617033
111,例えば，大学生などは板書を写真にテストの時に用いたりする人もいるようです,5,90,2015-06-15 21:09:29,0.049005023711244711
111,便利なところは便利なままで，悪用されてしまう部分は何とか取り除く仕組みを作ってほしいですね,5,90,2015-06-15 21:09:29,0.048524295229810457
124,さらに、首を倒した状態が続くと、片頭痛の原因になるとも聞きます,8,67,2015-06-15 22:11:19,0.049325308307408659
124,悪いところで言えば、視力の低下があげられると,8,67,2015-06-15 22:11:19,0.048596037197536211
130,スマホに夢中になりすぎて、移動時間すら惜しんでゲームをしている人をよく見かけます,1,67,2015-06-15 22:33:26,0.050527736379876877
135,運転中は携帯電話の使用自体違反になるのに、スマホの画面を見ながらハンドルを握っているのを見ると怖くなります,3,130,2015-06-15 22:51:31,0.050673491944768279
135,自動車のドライバーが運転しているのを頻繁に見かけます,3,130,2015-06-15 22:51:31,0.048600482252099113
153,SNSといったコミュニケーションアプリが普及したお陰で情報の循環がしやすくなった感はありますね自分もTwitterがあるお陰で情報を仕入れやすくなりましたw最近では企業でもTwitterを導入し情報の提供をしたりして上手いことやってたりもしてますさらにLINEが生まれたことで連絡のしやすさもまた上がってますしスマホのいいところは指折り数え切れないほどあると言っていいでしょう,11,67,2015-06-16 13:27:40,0.49999999999999994
263,もう父度テスト,2,262,2015-11-29 11:55:01,0.49999999999999994
