id,title,body,parent_id,np,user_id,facilitation,invisible,top_fix,created_at,updated_at,theme_id,image,has_point,has_reply,agreement,claster,stamp
133,技術の面から考える,"ガラケーの時代は各メーカーでOSやミドルウェアが異なりました。日本ではキャリア毎に開発環境の統一を図っていましたが、キャリア間のプラットフォームには違いがあります。
一方スマホでは2種類のOSで9割を占めており、ほとんどのメーカーが1つのプラットフォーム向けの開発に注力することができます。
このことがメーカーの開発力強化やキャリア間の競争を起こし、スマホの普及につながったのではないかと考えます。",,0,12,false,false,false,2015-06-15 22:39:48,2015-11-30 14:06:50,3,,,,false,2,
155,,"OSの統一は確かに大きいかも。
そういう面でも昔はアプリ開発も難しかっただろうし、
何よりユーザが開発者になるという発想が生まれなかった感じはありますね。",133,55,1,false,false,false,2015-06-16 13:39:03,2015-11-18 14:28:47,3,,,,false,,
