id,sent,user_id,parent_id,created_at
178,」などの意見があれば、理由を添えてお聞かせください,1,,2015-06-17 10:47:28
178,「これは特にそうだと「これは違うのではないか,1,,2015-06-17 10:47:28
178,意見で、スマホの普及の理由として、・親和性が高いから・まわりが使い始めたから・企業戦略の賜物・使いたい機能が増えたから・ガラケーではスペック不足だから・ミドルウェアの統一性に開発が容易になったから・SNSとの親和性が高いから・誰でもアプリの開発者になり、利用者にもなれるから・感覚で利用できるから・SNSの発達・「供給が需要に繋がる」の連鎖が出ています,1,,2015-06-17 10:47:28
189,なぜまわりの人が使い始めるようになったのかを考えますと，スマホで無ければ使えない，使いにくいサービスやアプリが豊富にあるからだと,5,178,2015-06-17 13:49:46
189,私は「誰でもアプリの開発者になり、利用者にもなれるから」だと考えますね,5,178,2015-06-17 13:49:46
191,一方で、今や子供から方まで広まったことを「普及」と考えるのであれば、・サービスの拡充・まわりから遅れたくないと社会的・心理的な要因が挙げられると,14,178,2015-06-17 14:41:28
191,「普及」の部分に焦点を当てるかに主な理由は変わってくると,14,178,2015-06-17 14:41:28
191,理由となると、ひとつに絞るのは現時点では難しと感じます,14,178,2015-06-17 14:41:28
194,そこに「誰でも開発者や利用者になれる」が加わることで利用面がより便利になるだけでなく便利になり，よりスマホが普及したのではないかと考えます,8,189,2015-06-17 16:35:37
