id,sent,user_id,parent_id,created_at
179,「これは特にそうだと「これは違うのではないか,1,,2015-06-17 10:48:49
179,意見で、スマホの普及の理由として、・電話やメールだけでなく、その他の機能が多いから・１台で出来るから・スマホと近いところまで来ていたから・進化・情報拡散のスピードが出ています,1,,2015-06-17 10:48:49
186,デザイン性,21,179,2015-06-17 12:41:54
188,当てはまるかは微妙ですが、妻の携帯は職場で一人警報が鳴らなかった事にショックを受けて、スマホに替えました,25,179,2015-06-17 13:17:03
190,同様に，通信インフラの進化も普及に影響したのではないかと,17,179,2015-06-17 14:05:03
190,スマホと携帯端末が普及した理由になっていますがいつでも，どこでも連絡がとりあえることが普及した要因と大きいかと,17,179,2015-06-17 14:05:03
198,１台でことが出来るからやはり自分の好きなようにカスタマイズして色々なことが出来るのが大きいと,15,179,2015-06-17 19:11:56
