id,sent,user_id,parent_id,created_at
17,もし使っていない方がいたらいつから使い始めたいか、でも構いません,6,,2015-06-15 10:45:59
17,なのでスマホを使い始めた時期をみなさん書いてみましょう,6,,2015-06-15 10:45:59
17,私は一昨年から使い始めました！携帯を持っていなかったのですが、一人暮らしに親との連絡手段のために購入しました,6,,2015-06-15 10:45:59
20,私は3年ほど前からiPhoneを使っています,14,17,2015-06-15 11:03:25
20,私自身はスマートフォンを使いたかったためガラケーから変えたのではなく、スマートフォンにする必要性を感じたため変えました,14,17,2015-06-15 11:03:25
20,スマートフォンの普及には、携帯会社の売り出し方にもあると,14,17,2015-06-15 11:03:25
24,みんな利用している手段だから、と私もそうかもしれません,6,20,2015-06-15 11:23:25
37,自分も大学入学時にガラケーからスマホに変えました,3,17,2015-06-15 11:41:31
37,スマホとガラケーを比べたら、ガラケーだと大抵の機種で画面操作がキー入力だけで使い勝手が悪そうだし、ウェブブラウザも携帯専用だったりして見にくいし、何よりも元々入っている機能しか使えず、自分でアプリを追加して欲しい機能を増やしていく、なんていうスマホの使い方は全くガラケーでは出来そうもなかったですよね,3,17,2015-06-15 11:41:31
37,使い手の自由の効かない機種を使いつづける考えは眼中には無く、真っ先にスマホに機種変更しました,3,17,2015-06-15 11:41:31
37,当時はガラケーに機種変更する考えは全く無かったですね,3,17,2015-06-15 11:41:31
88,私は2年半前からスマホを使ってます,13,17,2015-06-15 19:57:06
88,連絡手段がメールからLINEに移行し始めたりでガラケーがちょっと不便になってきたので変えました,13,17,2015-06-15 19:57:06
92,僕は、3年前から使い始めてます,7,17,2015-06-15 20:11:50
121,それまでは所謂ガラケーを使っていましたが、Androidスマホがそれなりに使える性能になっていたこと、仕事でスマホからの動作確認を求められるケースが出てきたことをスマホに切り替えました,12,17,2015-06-15 21:46:48
228,ガラケーだとLINEが使えないらしいですし,2,30,2015-11-24 11:22:59
228,LINEの普及は確かに大きいですね,2,30,2015-11-24 11:22:59
