id,sent,user_id,parent_id,created_at
40,私がよく使うのは、StudyPlusなどです,1,,2015-06-15 11:55:24
40,あなたがスマホでよく使うアプリ、おすすめのアプリは何ですか,1,,2015-06-15 11:55:24
57,私が使っているアプリはスマホの画面から「何に，いくら使った」かを手入力しなきゃいけないので，ちょっと面倒くさいです,9,40,2015-06-15 12:37:47
57,一人暮らしをしているのでよく家計簿アプリを使ってます,9,40,2015-06-15 12:37:47
63,画像認識の技術はかなり発展していますが、やはり、上手くいかない時もありますよね,1,57,2015-06-15 13:20:59
226,画像認識の技術はかなり発展していますが、やはり、上手くいかない時もありますよね,2,57,2015-11-24 10:53:56
