id,sent,user_id,parent_id,created_at
27,スマートフォンが流行った，と企業戦略に流行らせたものだとスマートフォン向けのアプリとかサービス多いし提供サービスが増えるから使用者も増えるし，使用者が増えるから提供サービスも増えるような好循環になってる逆にガラケーなんかは悪循環に陥っている,4,,2015-06-15 11:26:52
32,使用者が同時に開発者にもなれる時代が来るとは,1,27,2015-06-15 11:35:56
32,開発で稼げるというのは、ガラケー時代を思えば画期的,1,27,2015-06-15 11:35:56
35,たしかにガラケーは楽しめるアプリのようなものが少ないイメージがあります,6,27,2015-06-15 11:38:43
150,スマホの流行り方は，ニコニコのような動画サイト，初音ミクのようなボカロなどのように，誰でもアプリの製作者になり，誰でもアプリを利用できると魅力にものとも考えられます「誰でも」と部分に好循環を見出した企業戦略はすごいと,8,27,2015-06-16 13:02:59
151,アプリ開発などいろいろな方面から企業がバックアップをしているお陰でいい方面へ向かっているというのを自分も感じます全体的にスマホの誕生に企業も乗っかりたいんでしょうねw,11,27,2015-06-16 13:19:45
