id,sent,user_id,parent_id,created_at
25,ガラケーに足りなかったもの、また、スマホにしかない利点があれば、それがスマホの普及に影響を与えたと考えることができると,14,,2015-06-15 11:25:49
31,たしか、ガラケーでもインターネットをできないことはないんですよねただ動画のようなメディアに触れるためにはスマホは使い勝手のいいものだと考えます,6,25,2015-06-15 11:35:18
224,たしか、ガラケーでもインターネットをできないことはないんですよねただ動画のようなメディアに触れるためにはスマホは使い勝手のいいものだと考えます,2,25,2015-11-24 10:42:18
