id,sent,user_id,parent_id,created_at
13,やはり親和性に便利さを感じます,39,,2015-06-15 10:03:16
13,スマホの便利な所と機能がありますか,39,,2015-06-15 10:03:16
33,直感的な操作が可能である点が挙げられると,30,13,2015-06-15 11:36:14
38,そういえばガラケー時代は、下の方にあるボタンを押すために、下ボタンを連打していましたね,1,33,2015-06-15 11:45:19
72,最近はスマホをわりにする人が多いですよね,1,70,2015-06-15 13:46:05
78,最近ではPCを使わずにスマホだけですべて完結させちゃう人も増えてきているらしいので驚きです,28,13,2015-06-15 14:10:20
91,既に挙げられてる方もいらっしゃいますが、直感的な操作感はやっぱり便利だなぁと,35,13,2015-06-15 20:09:51
94,また、最近でスマホの利便性をさらに高めたのは、音声認識機能の追加及び性能の向上だと考えます,41,13,2015-06-15 20:23:47
